,total_cases,Daily_High
2020-01-02,3.0,114.90157894736842
2020-01-03,3.0,114.56026315789474
2020-01-06,3.0,113.90578947368421
2020-01-07,3.0,114.72131578947368
2020-01-08,3.0,114.21921052631579
2020-01-09,3.0,115.45394736842105
2020-01-10,3.0,115.18394736842104
2020-01-13,3.0,115.37131578947367
2020-01-14,3.0,115.50526315789473
2020-01-15,3.0,115.90684210526315
2020-01-16,3.0,116.82105263157894
2020-01-17,3.0,117.88578947368421
2020-01-20,3.0,118.27000000000001
2020-01-21,3.0,117.20973684210527
2020-01-22,3.0,116.49
2020-01-23,3.0,115.90184210526314
2020-01-24,3.0,116.2057894736842
2020-01-25,3.0,114.74789473684211
2020-01-26,3.0,114.74789473684211
2020-01-27,3.0,114.74789473684211
2020-01-28,3.0,113.2628947368421
2020-01-29,4.0,114.10052631578947
2020-01-30,5.0,113.05131578947368
2020-01-31,6.0,112.71894736842104
2020-02-01,6.0,111.51342105263159
2020-02-02,6.0,111.51342105263159
2020-02-03,6.0,111.51342105263159
2020-02-04,6.0,113.18105263157895
2020-02-05,6.0,114.17710526315791
2020-02-06,6.0,116.09157894736843
2020-02-07,6.0,115.305
2020-02-08,11.0,114.80868421052631
2020-02-09,11.0,114.80868421052631
2020-02-10,11.0,114.80868421052631
2020-02-11,11.0,115.40394736842106
2020-02-12,11.0,116.55947368421053
2020-02-13,11.0,116.69552631578948
2020-02-14,11.0,116.91421052631578
2020-02-15,11.0,116.29052631578948
2020-02-16,11.0,116.29052631578948
2020-02-17,12.0,116.29052631578948
2020-02-18,12.0,116.26578947368422
2020-02-19,12.0,116.69105263157896
2020-02-20,12.0,117.17368421052633
2020-02-21,12.0,115.29736842105264
2020-02-22,12.0,112.53447368421051
2020-02-23,12.0,112.53447368421051
2020-02-24,12.0,112.53447368421051
2020-02-25,12.0,110.45921052631579
2020-02-26,14.0,108.33026315789475
2020-02-27,17.0,106.19263157894737
2020-02-28,38.0,102.47500000000001
2020-02-29,57.0,104.33868421052631
2020-03-01,100.0,104.33868421052631
2020-03-02,130.0,104.33868421052631
2020-03-03,178.0,105.3471052631579
2020-03-04,212.0,105.23342105263157
2020-03-05,285.0,105.59526315789473
2020-03-06,423.0,100.93236842105263
2020-03-07,613.0,95.66473684210527
2020-03-08,716.0,95.66473684210527
2020-03-09,1126.0,95.66473684210527
2020-03-10,1412.0,95.92921052631579
2020-03-11,1784.0,93.34973684210526
2020-03-12,2281.0,88.12486486486486
2020-03-13,2876.0,88.38459459459459
2020-03-14,3661.0,80.98394736842106
2020-03-15,4499.0,80.98394736842106
2020-03-16,5423.0,80.98394736842106
2020-03-17,6633.0,79.89368421052632
2020-03-18,7730.0,77.93
2020-03-19,9134.0,78.1757894736842
2020-03-20,10995.0,84.42026315789474
2020-03-21,12612.0,82.13842105263159
2020-03-22,14459.0,82.13842105263159
2020-03-23,16018.0,82.13842105263159
2020-03-24,19856.0,86.39315789473685
2020-03-25,22302.0,91.89526315789473
2020-03-26,25233.0,91.57894736842105
2020-03-27,29155.0,91.97842105263157
2020-03-28,32964.0,90.46921052631579
2020-03-29,37575.0,90.46921052631579
2020-03-30,40174.0,90.46921052631579
2020-03-31,44550.0,90.40052631578946
2020-04-01,52128.0,86.4213157894737
2020-04-02,56989.0,85.77605263157893
2020-04-03,59105.0,54.86833333333333
